model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta
llama3,llama3_cfg_1,R0,0.3,0.9,1.15,512.0,40.264898616102286,80.25602490923764,88.31434213016652,-8.058317220928876,0.8038942702670419,0.7,0.5257913626830021,0.0,0.4108224063161424,0.5187278316713377,65.52072911474113,51.98361474783032,13.537114366910805
llama3,llama3_cfg_1,R1,0.3,0.9,1.15,512.0,44.10991423928332,83.01350748146704,88.31434213016652,-5.300834648699466,0.8685190897113362,0.5,0.48443930955364606,0.0,0.3750502984363032,0.46613799026228897,64.38726873403428,51.98361474783032,12.403653986203942
llama3,llama3_cfg_1,R2,0.3,0.9,1.15,512.0,41.11683442261601,81.80707163189702,88.31434213016652,-6.507270498269494,0.7733714831632011,0.65,0.4731447096867985,0.0,0.4191888132601623,0.5517077505223695,67.69976076116447,51.98361474783032,15.71614601333415
llama3,llama3_cfg_1,R3,0.3,0.9,1.15,512.0,41.23423952838326,81.50972303602757,88.31434213016652,-6.8046190941389515,0.7926275094740161,0.5,0.49340856367159347,0.0,0.4246860707605761,0.5460399291535187,67.31347996576868,51.98361474783032,15.329865217938353
llama3,llama3_cfg_1,R4,0.3,0.9,1.15,512.0,42.147024792281755,84.12311247322728,88.31434213016652,-4.19122965693924,0.7315775378843203,0.45,0.46639687949489844,0.0,0.3712566117889803,0.531435937375443,70.14477289505503,51.98361474783032,18.16115814722471
llama3,llama3_cfg_2,R0,0.7,0.9,1.1,512.0,41.45013585756756,82.64343865353393,88.31434213016652,-5.670903476632584,0.8157602743527865,0.6,0.5061853133203754,0.0,0.3514414128386347,0.47797997076718357,66.72685049998657,51.98361474783032,14.743235752156238
llama3,llama3_cfg_2,R1,0.7,0.9,1.1,512.0,41.688611095297006,79.38232576196594,88.31434213016652,-8.932016368200566,0.8545923256804636,0.8,0.4869847188192482,0.0,0.4152516648454558,0.49641709377595944,65.33721334219571,51.98361474783032,13.353598594365383
llama3,llama3_cfg_2,R2,0.7,0.9,1.1,512.0,40.21627045891315,84.88229706680576,88.31434213016652,-3.432045063360752,0.7989529888790411,0.2,0.47393727482450315,0.0,0.3876585441983763,0.5248772905623392,65.29005805443617,51.98361474783032,13.306443306605843
llama3,llama3_cfg_2,R3,0.7,0.9,1.1,512.0,43.138310501915626,83.05115085202723,88.31434213016652,-5.263191278139287,0.7972227643864016,0.55,0.49111956181802396,0.0,0.36949160254259134,0.50182429148093,65.71012042702533,51.98361474783032,13.72650567919501
llama3,llama3_cfg_2,R4,0.7,0.9,1.1,512.0,42.60808316355493,81.43756859044355,88.31434213016652,-6.876773539722959,0.7585719861019364,0.65,0.5090753904963705,0.0,0.3438471154515634,0.5126755051927929,67.06577735772848,51.98361474783032,15.082162609898154
mistral,mistral_cfg_1,R0,0.7,0.9,1.1,512.0,40.18713014678563,83.87639075003511,88.31434213016652,-4.437951380131401,1.457769598017839,1.0,0.42815755272585065,0.0,0.4729556457192734,0.3302972992023211,61.49420027371049,51.98361474783032,9.510585525880165
mistral,mistral_cfg_1,R1,0.7,0.9,1.1,512.0,41.88567987791666,79.87352587057104,88.31434213016652,-8.440816259595474,1.8364864633704454,1.5,0.41159313012736476,0.0,0.5080836228229962,0.3119027689059864,52.92456697446111,51.98361474783032,0.9409522266307817
mistral,mistral_cfg_1,R2,0.7,0.9,1.1,512.0,38.719063681898916,83.27739870528791,88.31434213016652,-5.036943424878609,1.3904109562436404,1.05,0.4238978486829108,0.0,0.5049736230087346,0.3929413041790681,58.00129510267027,51.98361474783032,6.017680354839941
mistral,mistral_cfg_1,R3,0.7,0.9,1.1,512.0,40.151991188437094,81.95951515693045,88.31434213016652,-6.354826973236057,1.7228813750617469,0.95,0.30760356520508475,0.0,0.5425693094493955,0.34461297240514954,57.26514621397223,51.98361474783032,5.2815314661419
mistral,mistral_cfg_1,R4,0.7,0.9,1.1,512.0,39.30149510813471,80.7644401193779,88.31434213016652,-7.549902010788619,1.908856031882511,1.15,0.32935740558932136,0.0,0.5661131303472754,0.3538099869977368,57.59116524513574,51.98361474783032,5.607550497305423
mistral,mistral_cfg_2,R0,0.3,0.9,1.15,400.0,40.35895429026972,82.49294456113174,88.31434213016652,-5.821397569034781,1.3930121879355257,0.8,0.4438147334140248,0.0,0.49923437118680314,0.37174110513010983,53.91950843977337,51.98361474783032,1.9358936919430385
mistral,mistral_cfg_2,R1,0.3,0.9,1.15,400.0,39.645069945634205,81.62645077707012,88.31434213016652,-6.687891353096383,1.6434250789601126,1.05,0.38203821834951346,0.0,0.5492722502367969,0.3782804034071928,55.10909625312822,51.98361474783032,3.1254815052978944
mistral,mistral_cfg_2,R2,0.3,0.9,1.15,400.0,37.326791202603665,83.44410974393499,88.31434213016652,-4.870232386231526,1.8104760296579112,1.05,0.37759744375297327,0.0,0.5487127985835091,0.38329261080209454,56.90956526052165,51.98361474783032,4.9259505126913234
mistral,mistral_cfg_2,R3,0.3,0.9,1.15,400.0,40.156163652874014,83.13892307596282,88.31434213016652,-5.175419054203693,1.5146712724131037,1.05,0.42542372766380704,0.0,0.5298632801323321,0.38517907007014485,55.15329980864912,51.98361474783032,3.169685060818806
mistral,mistral_cfg_2,R4,0.3,0.9,1.15,400.0,39.35724431265742,81.45624468122983,88.31434213016652,-6.858097448936684,1.7218630538054562,1.15,0.3611717465224772,0.0,0.5337163968695549,0.3451863636380145,54.80565860532293,51.98361474783032,2.8220438574926043
